               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.045752,            0.046008,            0.034923,             0.73924,             0.10144,              0.1406,            0.078997,            0.059377,            0.040046,            0.059468,            0.008812,            0.008812,            0.008812
                  38,            0.048958,            0.047585,            0.038639,              0.7779,            0.086246,             0.14057,            0.081963,            0.057477,            0.040054,            0.059347,            0.008779,            0.008779,            0.008779
                  39,            0.046227,            0.049112,            0.036218,             0.83079,            0.091375,             0.14705,            0.085418,            0.057288,            0.039577,            0.059527,            0.008746,            0.008746,            0.008746
                  40,            0.043502,            0.045189,            0.037384,             0.84736,            0.087778,             0.17025,            0.084069,            0.057415,            0.040101,            0.059396,            0.008713,            0.008713,            0.008713
                  41,            0.045827,            0.052776,            0.033206,             0.87543,            0.070781,             0.15683,            0.085903,            0.055383,            0.038347,            0.058747,             0.00868,             0.00868,             0.00868
                  42,            0.044565,            0.048823,            0.034859,             0.84833,            0.077619,             0.14837,            0.073983,            0.055691,            0.037947,            0.057776,            0.008647,            0.008647,            0.008647
                  43,            0.042986,            0.049276,            0.035662,             0.75573,             0.10062,             0.14263,             0.06972,            0.057461,            0.038226,            0.057014,            0.008614,            0.008614,            0.008614
                  44,            0.044281,            0.047858,            0.033919,             0.77362,            0.080294,             0.15289,            0.075063,            0.057442,            0.038235,            0.056898,            0.008581,            0.008581,            0.008581
                  45,            0.046254,            0.049843,            0.032532,             0.70012,            0.099866,             0.17293,            0.091207,            0.058292,            0.039288,            0.056731,            0.008548,            0.008548,            0.008548
                  46,            0.047756,            0.048887,            0.032847,             0.67193,             0.14419,             0.18851,            0.084293,            0.056331,            0.040959,            0.055984,            0.008515,            0.008515,            0.008515
                  47,            0.044061,            0.047296,            0.032354,              0.6627,             0.12468,             0.17464,            0.084861,             0.05708,             0.04065,            0.055659,            0.008482,            0.008482,            0.008482
                  48,            0.041683,            0.049026,            0.031914,             0.73116,             0.11694,             0.14692,            0.071229,             0.05671,              0.0411,            0.055907,            0.008449,            0.008449,            0.008449
                  49,            0.043505,            0.050349,            0.032171,             0.74473,             0.11253,             0.16892,            0.095892,            0.054753,            0.040292,            0.056131,            0.008416,            0.008416,            0.008416
                  50,            0.042129,            0.046047,            0.033731,             0.75683,              0.1388,             0.18159,             0.10006,            0.057195,            0.041381,            0.056638,            0.008383,            0.008383,            0.008383
                  51,            0.042189,            0.048138,            0.029803,             0.78227,             0.13596,             0.17376,              0.1019,            0.057196,            0.042374,            0.057189,             0.00835,             0.00835,             0.00835
