               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041235,            0.018488,             0.04732,           0.0035435,             0.55812,            0.029878,            0.016871,            0.029273,            0.019141,            0.037926,            0.070026,           0.0033305,           0.0033305
                   1,             0.02785,            0.014307,            0.041912,             0.86295,            0.075132,             0.11436,            0.064434,            0.026339,            0.017992,             0.03199,            0.039993,           0.0066308,           0.0066308
                   2,            0.027159,            0.012626,            0.037897,             0.46518,             0.31619,             0.17345,               0.126,             0.02713,             0.01928,            0.032127,           0.0099266,           0.0098982,           0.0098982
                   3,            0.026276,            0.011872,            0.033918,             0.94041,            0.048677,             0.12846,            0.067204,             0.02858,            0.017505,            0.031677,           0.0098515,           0.0098515,           0.0098515
                   4,            0.025034,            0.011476,            0.030958,             0.16723,             0.41187,             0.23153,              0.1555,            0.025542,            0.018935,             0.02795,           0.0098515,           0.0098515,           0.0098515
                   5,            0.023433,            0.010555,            0.027521,             0.43379,             0.38946,             0.36472,               0.239,            0.026179,            0.017518,            0.023621,            0.009802,            0.009802,            0.009802
                   6,            0.022879,            0.010181,             0.02525,             0.46353,             0.56335,             0.55584,             0.39449,            0.023411,            0.012867,            0.016319,           0.0097525,           0.0097525,           0.0097525
                   7,            0.022332,           0.0099689,            0.023165,             0.60757,              0.2981,              0.4148,             0.25421,            0.027632,            0.014475,            0.017292,            0.009703,            0.009703,            0.009703
                   8,            0.022359,           0.0098193,            0.020498,             0.56142,             0.52942,             0.58824,              0.4268,            0.022379,            0.012973,            0.014316,           0.0096535,           0.0096535,           0.0096535
                   9,            0.022232,           0.0094904,            0.018462,             0.64114,             0.52338,             0.61762,             0.45966,            0.026318,            0.015481,            0.016403,            0.009604,            0.009604,            0.009604
                  10,            0.021178,           0.0093318,            0.016774,             0.53151,              0.5805,             0.61837,             0.43199,            0.027632,            0.013979,            0.013427,           0.0095545,           0.0095545,           0.0095545
                  11,            0.021096,           0.0092859,             0.01631,             0.55081,             0.69041,             0.69168,             0.45533,            0.024451,            0.014352,            0.015142,            0.009505,            0.009505,            0.009505
                  12,            0.020786,           0.0091209,            0.015411,             0.59049,             0.63678,             0.68819,             0.49332,            0.027346,            0.018768,           0.0099986,           0.0094555,           0.0094555,           0.0094555
                  13,            0.020516,           0.0091814,            0.014993,             0.54745,             0.59757,             0.63611,             0.42925,            0.026497,            0.013708,            0.012386,            0.009406,            0.009406,            0.009406
                  14,            0.019604,           0.0089511,            0.013879,             0.71346,             0.71967,             0.81989,              0.5685,            0.022876,            0.012724,           0.0074732,           0.0093565,           0.0093565,           0.0093565
                  15,            0.019239,            0.008628,            0.013566,             0.67289,             0.64777,             0.73801,              0.5225,            0.024508,            0.012141,           0.0084901,            0.009307,            0.009307,            0.009307
                  16,            0.018832,           0.0087138,            0.013895,             0.68773,             0.68487,             0.78937,              0.5561,            0.020743,            0.012534,           0.0078423,           0.0092575,           0.0092575,           0.0092575
                  17,            0.019133,           0.0084645,            0.012948,             0.77404,             0.73367,             0.79602,             0.56757,            0.023194,            0.012173,           0.0072629,            0.009208,            0.009208,            0.009208
                  18,             0.01881,           0.0083186,            0.011541,             0.75137,             0.71859,             0.83913,             0.60534,            0.020016,            0.011687,           0.0060787,           0.0091585,           0.0091585,           0.0091585
                  19,            0.019443,           0.0082639,            0.012267,             0.72811,             0.70978,             0.78815,             0.56564,            0.021561,            0.015565,           0.0073391,            0.009109,            0.009109,            0.009109
                  20,            0.018995,           0.0082399,            0.011628,              0.6118,             0.76091,             0.76131,             0.55357,            0.025249,            0.016018,           0.0057777,           0.0090595,           0.0090595,           0.0090595
                  21,            0.018174,           0.0082076,            0.012096,             0.69191,             0.71823,             0.79364,             0.57452,             0.02273,            0.013264,           0.0062671,             0.00901,             0.00901,             0.00901
                  22,            0.019247,           0.0083132,             0.01179,             0.90084,             0.67626,             0.82121,              0.6077,            0.020797,            0.012866,           0.0063977,           0.0089605,           0.0089605,           0.0089605
                  23,            0.018293,           0.0080152,            0.010852,             0.78237,             0.73294,             0.79988,             0.54982,            0.023783,            0.013715,            0.005996,            0.008911,            0.008911,            0.008911
                  24,            0.018119,           0.0080563,            0.010672,             0.69608,             0.79308,             0.83828,             0.62105,            0.022282,            0.013747,            0.004616,           0.0088615,           0.0088615,           0.0088615
                  25,            0.018373,           0.0080101,            0.010404,             0.82355,             0.69649,             0.77309,              0.5459,            0.021508,            0.013577,           0.0055415,            0.008812,            0.008812,            0.008812
                  26,            0.017935,           0.0079447,            0.010746,             0.69662,             0.70021,             0.80568,             0.58578,            0.024797,            0.015178,           0.0054362,           0.0087625,           0.0087625,           0.0087625
                  27,            0.017332,           0.0079221,            0.010407,              0.7948,             0.79212,             0.83839,             0.61679,             0.02422,            0.011724,           0.0057387,            0.008713,            0.008713,            0.008713
                  28,            0.017083,           0.0078506,           0.0099737,             0.84407,             0.78487,             0.83764,              0.6368,             0.02079,            0.011898,           0.0031581,           0.0086635,           0.0086635,           0.0086635
                  29,             0.01787,           0.0076714,           0.0096878,             0.73404,             0.85812,              0.8562,             0.61292,            0.018661,            0.012034,           0.0028822,            0.008614,            0.008614,            0.008614
                  30,            0.017238,           0.0077538,            0.010069,             0.73465,             0.75834,             0.84158,             0.60314,            0.022733,            0.013634,           0.0040209,           0.0085645,           0.0085645,           0.0085645
                  31,            0.017147,           0.0076827,           0.0096277,             0.78263,             0.84906,             0.86975,             0.66002,            0.020148,            0.013325,           0.0032807,            0.008515,            0.008515,            0.008515
                  32,            0.016818,           0.0074952,           0.0087712,             0.89448,             0.75285,             0.83377,             0.63103,            0.019687,            0.014098,           0.0036126,           0.0084655,           0.0084655,           0.0084655
                  33,            0.016341,           0.0073909,            0.008285,             0.81205,             0.76163,             0.81464,             0.63205,            0.021017,            0.014541,            0.003157,            0.008416,            0.008416,            0.008416
                  34,            0.016621,           0.0074616,           0.0085829,             0.81226,             0.88803,              0.9075,             0.68606,             0.01633,             0.01224,           0.0026822,           0.0083665,           0.0083665,           0.0083665
                  35,            0.016503,           0.0073395,           0.0085079,             0.80481,              0.8308,             0.86763,             0.65635,            0.018357,            0.012768,           0.0035133,            0.008317,            0.008317,            0.008317
                  36,            0.016699,           0.0072671,           0.0082968,             0.82875,             0.77145,             0.86783,             0.65729,             0.01991,             0.01364,           0.0034494,           0.0082675,           0.0082675,           0.0082675
                  37,            0.016435,           0.0074371,           0.0084372,             0.81167,             0.79622,             0.84384,             0.62392,            0.019239,            0.013966,            0.003146,            0.008218,            0.008218,            0.008218
                  38,            0.016436,           0.0073289,           0.0079208,              0.8532,             0.79468,             0.84385,             0.62488,            0.020177,            0.012394,           0.0023799,           0.0081685,           0.0081685,           0.0081685
                  39,            0.016873,           0.0073803,           0.0088106,             0.82993,             0.83807,             0.86267,             0.64359,            0.019602,             0.01301,           0.0026895,            0.008119,            0.008119,            0.008119
                  40,            0.015813,           0.0071612,           0.0085974,             0.85429,             0.88513,             0.90453,             0.68528,             0.01788,            0.012763,           0.0025751,           0.0080695,           0.0080695,           0.0080695
                  41,            0.016043,           0.0072084,           0.0079201,             0.87871,             0.77161,             0.84876,             0.65397,            0.019334,            0.013077,           0.0038505,             0.00802,             0.00802,             0.00802
                  42,            0.016174,           0.0071378,           0.0078534,             0.83168,             0.82679,             0.89367,              0.6511,            0.018422,            0.012336,           0.0025702,           0.0079705,           0.0079705,           0.0079705
                  43,            0.015186,           0.0070317,           0.0072352,             0.87202,             0.84411,             0.90163,             0.67846,            0.016947,            0.011671,           0.0036123,            0.007921,            0.007921,            0.007921
                  44,            0.015617,           0.0071179,           0.0076636,             0.79136,             0.88396,             0.90091,             0.67574,            0.017578,            0.012362,           0.0029302,           0.0078715,           0.0078715,           0.0078715
                  45,            0.015711,           0.0071089,           0.0074342,             0.89149,             0.84574,             0.90868,             0.71243,            0.017738,            0.011027,           0.0025488,            0.007822,            0.007822,            0.007822
                  46,            0.016004,           0.0071422,           0.0083126,             0.86594,              0.8159,             0.87947,             0.66643,            0.018112,            0.011865,            0.002384,           0.0077725,           0.0077725,           0.0077725
                  47,            0.015597,           0.0070002,           0.0074842,             0.86297,             0.89101,             0.91037,             0.67337,            0.019292,            0.012602,           0.0028269,            0.007723,            0.007723,            0.007723
                  48,            0.016215,           0.0070523,           0.0076861,             0.87682,              0.8152,              0.8913,             0.69624,            0.017773,            0.011704,           0.0028225,           0.0076735,           0.0076735,           0.0076735
                  49,             0.01612,           0.0070057,           0.0075465,             0.89224,              0.8791,             0.91804,             0.68068,            0.017405,            0.011147,           0.0024263,            0.007624,            0.007624,            0.007624
                  50,            0.015193,           0.0068602,           0.0075121,             0.88138,             0.86673,             0.93365,             0.67682,            0.016993,            0.012462,           0.0026028,           0.0075745,           0.0075745,           0.0075745
                  51,            0.015475,           0.0069257,           0.0076602,             0.88059,              0.8883,             0.93348,             0.69731,             0.01923,            0.011492,           0.0028766,            0.007525,            0.007525,            0.007525
                  52,            0.015084,            0.006746,           0.0069512,             0.75662,             0.85097,             0.86694,              0.6515,            0.019198,            0.012172,           0.0020219,           0.0074755,           0.0074755,           0.0074755
                  53,            0.014775,           0.0068711,           0.0072696,              0.8436,             0.86084,             0.91144,             0.68708,             0.01737,            0.011658,           0.0020001,            0.007426,            0.007426,            0.007426
                  54,            0.014845,           0.0068364,           0.0076866,              0.8469,             0.87571,             0.91549,             0.70297,             0.01675,            0.012277,           0.0024157,           0.0073765,           0.0073765,           0.0073765
                  55,            0.014662,           0.0068312,           0.0074978,             0.87943,             0.83276,             0.89811,             0.66849,            0.017309,            0.011601,           0.0020178,            0.007327,            0.007327,            0.007327
                  56,            0.015352,           0.0067439,           0.0074109,             0.89218,             0.86307,             0.92368,             0.67153,            0.017455,            0.011942,           0.0023625,           0.0072775,           0.0072775,           0.0072775
                  57,            0.014757,            0.006742,           0.0074604,             0.89325,             0.87249,             0.92578,               0.691,            0.017098,            0.011474,           0.0028031,            0.007228,            0.007228,            0.007228
                  58,             0.01534,           0.0066371,           0.0063249,             0.86176,             0.88002,             0.90881,             0.70192,            0.016819,            0.010902,            0.002499,           0.0071785,           0.0071785,           0.0071785
                  59,            0.014543,           0.0066216,           0.0063703,             0.90383,             0.87576,             0.91976,             0.69901,            0.017631,            0.011353,           0.0024085,            0.007129,            0.007129,            0.007129
                  60,            0.014817,           0.0066293,           0.0068351,             0.82261,              0.8925,             0.91329,             0.69165,            0.017019,            0.011774,           0.0023811,           0.0070795,           0.0070795,           0.0070795
                  61,            0.014678,           0.0066494,           0.0068301,             0.89792,             0.86944,             0.91872,             0.68078,            0.016659,            0.012494,           0.0021189,             0.00703,             0.00703,             0.00703
                  62,            0.014543,            0.006685,           0.0069999,             0.89126,             0.90599,             0.92609,             0.70639,            0.016342,            0.011977,            0.001888,           0.0069805,           0.0069805,           0.0069805
                  63,            0.014753,           0.0065668,           0.0066856,             0.87598,              0.8937,             0.92157,             0.70564,            0.016419,            0.011349,           0.0020747,            0.006931,            0.006931,            0.006931
                  64,            0.014977,           0.0065695,           0.0061277,             0.90214,             0.86937,             0.92891,             0.71444,            0.016865,            0.011116,           0.0017771,           0.0068815,           0.0068815,           0.0068815
                  65,            0.014534,           0.0065567,           0.0067845,             0.90835,             0.88371,             0.92561,             0.69846,             0.01769,            0.011108,           0.0018888,            0.006832,            0.006832,            0.006832
                  66,            0.014292,           0.0065581,           0.0062277,             0.86946,             0.88048,             0.90611,             0.68045,            0.017636,            0.011114,           0.0022444,           0.0067825,           0.0067825,           0.0067825
                  67,            0.014835,           0.0064907,           0.0062939,             0.89217,             0.89051,              0.9179,             0.68816,            0.017877,            0.010865,           0.0024067,            0.006733,            0.006733,            0.006733
                  68,             0.01461,            0.006556,           0.0065561,             0.92495,             0.87813,             0.92449,             0.69473,            0.017652,            0.011177,           0.0023197,           0.0066835,           0.0066835,           0.0066835
                  69,            0.014243,           0.0063752,           0.0064178,             0.87347,             0.90505,             0.93014,             0.69574,            0.016993,            0.011148,           0.0023094,            0.006634,            0.006634,            0.006634
                  70,            0.014536,           0.0063134,           0.0065624,              0.8794,             0.91317,             0.92996,             0.71124,            0.016622,            0.011127,           0.0020278,           0.0065845,           0.0065845,           0.0065845
