               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12076,            0.065938,            0.077906,           0.0016454,            0.028333,           0.0011991,          0.00034103,             0.12633,            0.054111,            0.079697,              0.0937,              0.0007,              0.0007
                   1,             0.11144,            0.077299,            0.077897,          0.00079794,                0.02,          0.00064304,          0.00019756,             0.10476,            0.062298,            0.079079,            0.086493,           0.0014926,           0.0014926
                   2,            0.098008,            0.085005,            0.076773,           0.0046816,             0.11296,            0.012302,           0.0042249,            0.091936,             0.06905,            0.078598,            0.079277,           0.0022772,           0.0022772
                   3,            0.089653,            0.091894,            0.076264,           0.0099778,             0.23796,            0.012352,           0.0024999,            0.080167,            0.068615,            0.077133,            0.072054,            0.003054,            0.003054
                   4,             0.08244,            0.082616,            0.073822,            0.028002,             0.36204,            0.046448,            0.014105,            0.075075,            0.067734,            0.076218,            0.064823,           0.0038228,           0.0038228
                   5,            0.077174,            0.081335,             0.07118,            0.029031,             0.47833,            0.038263,            0.012312,            0.072277,            0.080582,            0.075623,            0.057584,           0.0045837,           0.0045837
                   6,            0.073351,            0.085029,            0.070313,            0.089707,             0.20556,            0.035384,           0.0088562,            0.078926,             0.10873,            0.074226,            0.050337,           0.0053367,           0.0053367
                   7,            0.074952,            0.086828,            0.069263,            0.034223,             0.48722,              0.0612,            0.019388,            0.067204,            0.098892,            0.073002,            0.043082,           0.0060817,           0.0060817
                   8,            0.068081,            0.083686,            0.067745,            0.044687,             0.46799,            0.085988,            0.032946,            0.063499,            0.071308,            0.070301,            0.035819,           0.0068188,           0.0068188
                   9,            0.070124,             0.06747,            0.067551,            0.039243,             0.29021,            0.088424,            0.025262,            0.072203,            0.063213,             0.06926,            0.028548,           0.0075481,           0.0075481
                  10,             0.07198,            0.072195,            0.066672,            0.024015,              0.3337,            0.053185,            0.018443,            0.076275,            0.059029,            0.068424,            0.021269,           0.0082693,           0.0082693
