               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11889,            0.074233,             0.07854,           0.0022248,             0.02963,           0.0016534,          0.00052156,             0.12384,            0.048559,            0.079399,              0.0937,              0.0007,              0.0007
                   1,               0.115,            0.079116,            0.077424,           0.0019324,            0.022222,           0.0014385,           0.0002877,             0.11014,            0.052385,            0.078758,            0.086493,           0.0014926,           0.0014926
                   2,             0.10333,            0.091852,            0.076938,           0.0034247,                0.08,           0.0029882,          0.00063239,            0.092609,            0.055502,            0.078415,            0.079277,           0.0022772,           0.0022772
                   3,            0.093742,             0.09617,            0.076329,           0.0074338,                0.06,            0.011778,            0.002748,            0.080108,            0.055244,            0.077728,            0.072054,            0.003054,            0.003054
                   4,               0.088,            0.097883,            0.075154,            0.019546,             0.30222,            0.046796,            0.013738,            0.069919,            0.053015,            0.076378,            0.064823,           0.0038228,           0.0038228
                   5,            0.085286,            0.090802,            0.073786,            0.023236,             0.35185,            0.054148,            0.017732,             0.06492,            0.056911,            0.074867,            0.057584,           0.0045837,           0.0045837
                   6,            0.080406,             0.10035,            0.072992,            0.059523,             0.53185,            0.079477,            0.027771,            0.061775,            0.075642,             0.07346,            0.050337,           0.0053367,           0.0053367
                   7,            0.078867,            0.097723,             0.07195,            0.083647,             0.22444,             0.03016,           0.0093317,            0.070256,            0.092625,            0.072968,            0.043082,           0.0060817,           0.0060817
                   8,            0.078087,            0.092288,            0.070323,            0.037764,             0.55926,            0.056937,            0.016506,            0.066617,            0.059048,            0.070793,            0.035819,           0.0068188,           0.0068188
                   9,             0.07506,            0.080549,            0.069686,             0.13665,             0.23407,             0.12626,            0.058584,            0.059798,            0.045544,            0.068012,            0.028548,           0.0075481,           0.0075481
                  10,            0.074286,             0.09378,             0.06847,             0.12685,             0.38519,            0.089837,            0.028052,            0.061104,            0.044731,            0.068035,            0.021269,           0.0082693,           0.0082693
                  11,            0.069109,            0.096456,            0.068055,             0.05572,             0.51852,             0.12068,            0.044271,            0.058121,            0.046947,            0.067978,            0.013983,           0.0089827,           0.0089827
                  12,            0.071609,            0.078851,            0.067648,             0.13613,             0.35259,             0.13119,            0.057029,            0.056311,            0.045918,            0.067188,            0.009406,            0.009406,            0.009406
                  13,             0.06633,             0.08676,            0.067463,             0.12591,             0.39926,             0.09224,             0.03089,            0.060796,            0.048412,            0.067188,            0.009406,            0.009406,            0.009406
                  14,            0.063687,            0.083777,            0.066767,            0.066209,             0.61044,             0.14074,            0.056243,            0.050488,            0.047003,             0.06617,           0.0093565,           0.0093565,           0.0093565
                  15,            0.063811,             0.11119,            0.067243,              0.1285,             0.38016,             0.14702,            0.053116,            0.050547,            0.055687,            0.065289,            0.009307,            0.009307,            0.009307
                  16,            0.059732,            0.087787,            0.066512,             0.18213,             0.30201,             0.14086,            0.064883,            0.050877,            0.053984,            0.064476,           0.0092575,           0.0092575,           0.0092575
                  17,             0.06229,             0.08638,            0.065562,             0.17083,             0.21407,             0.16178,            0.075459,            0.055669,             0.05399,            0.064064,            0.009208,            0.009208,            0.009208
                  18,            0.059594,            0.085243,            0.062732,              0.1657,             0.35265,             0.18331,            0.063459,            0.054054,            0.049175,            0.064384,           0.0091585,           0.0091585,           0.0091585
                  19,            0.060738,            0.084977,             0.06571,             0.31583,              0.2763,             0.16706,            0.059808,            0.048835,            0.047549,             0.06395,            0.009109,            0.009109,            0.009109
                  20,            0.061428,            0.083178,            0.065089,             0.30912,             0.33253,             0.23647,             0.10232,            0.051947,            0.042638,            0.063435,           0.0090595,           0.0090595,           0.0090595
                  21,            0.062019,            0.090839,            0.066019,             0.29522,             0.33259,             0.22834,             0.11807,            0.045316,            0.042412,            0.063343,             0.00901,             0.00901,             0.00901
                  22,            0.060619,            0.093183,            0.064349,             0.40934,              0.1999,             0.20121,            0.075053,            0.052737,            0.041831,            0.063515,           0.0089605,           0.0089605,           0.0089605
                  23,            0.059055,            0.095278,            0.064602,             0.30865,             0.45704,             0.26168,             0.14995,            0.040271,            0.040442,            0.063171,            0.008911,            0.008911,            0.008911
                  24,            0.054982,            0.094127,             0.06485,             0.37979,             0.33608,             0.23525,              0.1095,            0.040811,            0.041815,            0.063068,           0.0088615,           0.0088615,           0.0088615
                  25,            0.060152,            0.082071,            0.064694,             0.31494,             0.42889,             0.22925,            0.074232,            0.055226,            0.045171,             0.06316,            0.008812,            0.008812,            0.008812
                  26,            0.052436,            0.091615,            0.064127,             0.30636,             0.45988,             0.25275,             0.13941,            0.035681,            0.037916,             0.06245,           0.0087625,           0.0087625,           0.0087625
                  27,            0.057503,            0.080338,            0.064145,             0.29667,             0.34889,             0.25238,             0.13959,            0.041835,            0.039341,            0.061913,            0.008713,            0.008713,            0.008713
