               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039675,             0.01808,            0.045912,           0.0037934,                   1,            0.049233,             0.02568,           0.0088708,            0.010691,             0.02145,            0.070026,           0.0033305,           0.0033305
                   1,            0.026523,            0.013625,            0.041376,              0.8956,             0.12222,             0.21335,             0.15004,           0.0077849,           0.0075743,            0.017673,            0.040004,           0.0066418,           0.0066418
                   2,            0.025589,            0.011954,            0.036319,             0.57875,                 0.4,             0.38492,             0.28283,           0.0079752,           0.0072377,            0.012772,           0.0099597,           0.0099312,           0.0099312
                   3,            0.024483,            0.011296,            0.032912,             0.40225,             0.64694,             0.47079,             0.36563,           0.0066052,           0.0086097,            0.011061,            0.009901,            0.009901,            0.009901
                   4,            0.023134,            0.010704,             0.02844,             0.44446,             0.70636,             0.58098,             0.46287,           0.0063011,           0.0070621,           0.0098572,            0.009901,            0.009901,            0.009901
                   5,            0.022236,            0.010094,            0.025507,             0.29475,             0.63333,             0.59003,             0.42628,           0.0071909,           0.0061095,           0.0093517,            0.009868,            0.009868,            0.009868
                   6,              0.0216,           0.0098464,            0.023978,             0.48457,             0.77593,             0.69702,             0.56137,           0.0052661,           0.0061686,           0.0060406,            0.009835,            0.009835,            0.009835
                   7,            0.021426,           0.0097282,            0.022502,             0.55037,             0.59671,             0.68021,              0.4851,           0.0071701,           0.0080618,           0.0087757,            0.009802,            0.009802,            0.009802
                   8,             0.02117,           0.0094959,            0.019896,             0.66793,             0.90062,             0.90083,             0.74666,           0.0052368,           0.0058302,           0.0032721,            0.009769,            0.009769,            0.009769
                   9,            0.021204,           0.0091557,             0.01765,             0.60466,             0.72714,             0.76189,             0.56619,           0.0058534,           0.0065613,           0.0063601,            0.009736,            0.009736,            0.009736
                  10,            0.020525,           0.0090657,            0.015628,             0.71664,                0.97,             0.93961,             0.72057,            0.005204,           0.0063481,           0.0014489,            0.009703,            0.009703,            0.009703
                  11,            0.020205,           0.0090091,            0.015027,             0.60334,             0.92994,             0.90072,             0.76206,           0.0048979,           0.0056987,           0.0022573,             0.00967,             0.00967,             0.00967
                  12,            0.019406,            0.008785,            0.013349,             0.72333,             0.97757,             0.96611,             0.79927,           0.0050933,           0.0050032,           0.0013041,            0.009637,            0.009637,            0.009637
                  13,            0.019303,           0.0087517,            0.013886,             0.68412,             0.94319,               0.923,             0.80343,           0.0039667,           0.0048231,           0.0016472,            0.009604,            0.009604,            0.009604
                  14,            0.018007,           0.0084872,            0.012195,             0.67776,             0.95658,             0.91889,             0.70415,           0.0050412,           0.0055464,           0.0010984,            0.009571,            0.009571,            0.009571
                  15,            0.018778,            0.008399,            0.012679,             0.68739,             0.95954,             0.92294,             0.79301,           0.0044413,           0.0060342,          0.00090301,            0.009538,            0.009538,            0.009538
                  16,            0.017882,           0.0083352,            0.012254,             0.68387,             0.98828,              0.9065,             0.76263,           0.0043874,           0.0048253,           0.0013158,            0.009505,            0.009505,            0.009505
                  17,            0.017998,           0.0080953,            0.011441,              0.6437,             0.94049,             0.90625,             0.71899,            0.004933,           0.0056613,           0.0012636,            0.009472,            0.009472,            0.009472
                  18,             0.01728,           0.0078405,           0.0099942,             0.82756,             0.98414,             0.97289,             0.84601,           0.0041003,           0.0046398,          0.00062323,            0.009439,            0.009439,            0.009439
                  19,             0.01827,            0.007805,            0.010311,             0.62903,             0.93333,             0.93944,             0.76768,           0.0047065,           0.0049499,           0.0017459,            0.009406,            0.009406,            0.009406
                  20,            0.017625,           0.0077567,            0.010401,              0.7446,             0.97945,             0.96178,             0.84223,           0.0047341,           0.0040012,          0.00067937,            0.009373,            0.009373,            0.009373
                  21,            0.017622,           0.0077118,            0.010044,             0.83112,             0.93213,             0.94511,             0.84375,           0.0037018,           0.0039372,          0.00044358,             0.00934,             0.00934,             0.00934
                  22,            0.017239,           0.0077561,            0.009808,             0.74521,             0.98431,             0.96722,             0.85847,           0.0035974,            0.004853,           0.0012574,            0.009307,            0.009307,            0.009307
                  23,            0.017028,           0.0077232,              0.0105,             0.77352,             0.94058,             0.96183,             0.86743,           0.0034839,           0.0041528,          0.00063372,            0.009274,            0.009274,            0.009274
