               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1169,            0.062638,             0.11128,          0.00087206,            0.014881,          0.00064208,          0.00019095,             0.11291,            0.036855,             0.11126,              0.0802,              0.0022,              0.0022
                   1,             0.10244,            0.074275,             0.10263,           0.0028696,             0.11389,           0.0046224,           0.0012027,            0.095931,            0.038167,            0.099964,            0.059485,           0.0044852,           0.0044852
                   2,            0.088012,            0.071241,             0.08121,             0.98206,            0.010913,           0.0045639,           0.0013797,             0.09529,            0.043467,            0.097203,            0.038755,           0.0067551,           0.0067551
                   3,            0.087225,             0.06795,            0.072349,           0.0032682,              0.1076,            0.016936,           0.0033711,            0.097985,            0.034856,            0.098738,             0.01801,           0.0090099,           0.0090099
                   4,             0.08729,            0.058001,            0.065143,           0.0050164,            0.084425,            0.016176,           0.0038462,             0.09417,            0.040391,            0.085405,            0.009868,            0.009868,            0.009868
                   5,            0.082627,            0.066007,            0.067754,             0.97082,            0.014272,            0.026795,           0.0086472,            0.081458,            0.037188,            0.080652,            0.009868,            0.009868,            0.009868
                   6,            0.076799,            0.059789,            0.060609,             0.97769,             0.01875,            0.020686,           0.0052348,            0.087703,            0.033088,            0.078602,            0.009835,            0.009835,            0.009835
                   7,            0.076428,            0.067814,            0.056036,             0.98237,            0.017063,            0.028635,           0.0091683,            0.077891,            0.033518,             0.07543,            0.009802,            0.009802,            0.009802
                   8,            0.071733,            0.066133,            0.056221,             0.97345,            0.014187,            0.021921,           0.0075639,            0.075341,            0.035035,            0.073164,            0.009769,            0.009769,            0.009769
                   9,            0.068541,            0.061716,            0.055841,             0.97352,            0.017758,            0.024334,            0.010799,            0.070311,             0.03691,            0.071145,            0.009736,            0.009736,            0.009736
                  10,            0.064731,            0.061984,            0.050193,             0.97499,            0.023214,            0.038741,            0.014828,            0.070305,            0.039009,            0.070741,            0.009703,            0.009703,            0.009703
                  11,             0.06397,             0.05676,            0.054487,             0.97808,            0.021945,             0.03674,            0.017884,            0.066119,            0.039847,            0.069662,             0.00967,             0.00967,             0.00967
                  12,            0.060996,             0.06097,            0.051684,             0.97661,            0.022713,            0.041834,            0.019129,              0.0637,            0.039654,            0.068884,            0.009637,            0.009637,            0.009637
