               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032572,            0.018606,            0.042747,            0.018291,             0.51832,            0.037934,            0.022774,            0.028538,            0.010707,             0.02829,            0.070026,           0.0033305,           0.0033305
                   1,            0.021944,              0.0123,            0.029821,             0.14079,             0.15792,             0.11186,            0.067345,            0.025285,           0.0095682,            0.024389,            0.039993,           0.0066308,           0.0066308
                   2,            0.021186,            0.011396,            0.024916,             0.25169,             0.16117,            0.088294,            0.044952,            0.027096,            0.012574,            0.026756,           0.0099266,           0.0098982,           0.0098982
                   3,            0.018816,            0.010749,            0.021946,             0.17922,             0.15954,            0.098405,             0.05475,            0.028498,             0.01138,            0.023228,           0.0098515,           0.0098515,           0.0098515
                   4,              0.0166,           0.0098538,            0.019345,             0.15831,             0.43078,             0.22709,             0.10142,            0.028879,            0.010489,             0.02096,           0.0098515,           0.0098515,           0.0098515
                   5,            0.014742,           0.0088846,             0.01719,             0.17165,             0.27218,             0.16479,            0.078635,            0.031681,            0.007944,            0.019238,            0.009802,            0.009802,            0.009802
                   6,            0.013546,           0.0083794,            0.014696,             0.13829,             0.45121,             0.20366,             0.11275,            0.026377,           0.0087507,            0.019867,           0.0097525,           0.0097525,           0.0097525
                   7,              0.0128,           0.0078104,            0.013527,             0.27328,             0.62328,             0.32113,             0.16738,            0.022329,            0.010501,              0.0151,            0.009703,            0.009703,            0.009703
                   8,             0.01248,           0.0076778,            0.012573,             0.31973,             0.61826,             0.33951,             0.18947,            0.021365,           0.0082027,            0.014393,           0.0096535,           0.0096535,           0.0096535
                   9,            0.011984,           0.0075043,            0.012394,             0.26083,             0.50344,             0.31624,             0.16507,            0.024694,           0.0081691,             0.01116,            0.009604,            0.009604,            0.009604
                  10,            0.011308,           0.0072342,            0.010927,              0.2021,             0.44765,             0.27027,             0.11407,            0.027443,            0.012887,            0.011791,           0.0095545,           0.0095545,           0.0095545
                  11,            0.011373,           0.0071371,            0.011099,             0.34383,             0.57491,             0.34881,             0.18549,            0.025619,           0.0099223,            0.012577,            0.009505,            0.009505,            0.009505
                  12,            0.011163,           0.0069371,            0.010567,             0.32243,              0.5596,             0.40982,              0.1967,            0.023269,           0.0089038,            0.011571,           0.0094555,           0.0094555,           0.0094555
                  13,            0.010627,           0.0067497,            0.010393,             0.27145,             0.46739,             0.32474,             0.16005,            0.028232,            0.009605,            0.013634,            0.009406,            0.009406,            0.009406
                  14,            0.010396,           0.0068573,           0.0099511,             0.37478,             0.80799,             0.44723,             0.22126,            0.020337,           0.0087991,           0.0095272,           0.0093565,           0.0093565,           0.0093565
                  15,           0.0099732,           0.0065071,           0.0092662,             0.28103,             0.69616,              0.3374,             0.18473,            0.024816,           0.0086085,           0.0095196,            0.009307,            0.009307,            0.009307
                  16,            0.010312,           0.0065733,           0.0094858,              0.3522,             0.71692,             0.38906,             0.20633,            0.023927,           0.0083152,           0.0097179,           0.0092575,           0.0092575,           0.0092575
                  17,           0.0099312,           0.0064195,           0.0086746,             0.33105,             0.65082,             0.40497,             0.22924,            0.021165,           0.0090087,           0.0080462,            0.009208,            0.009208,            0.009208
